	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
0	6532	44	Alkaloids	0.5	Cyclic polyketides	0.5	Decalins with 2-pyrones	0.5	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q77512995	YJHFAFJKTXEFDR-XREXNNHRSA-N	InChI=1S/C18H24O4/c1-11-7-8-12-5-3-4-6-13(12)17(11)16-9-15(21-2)14(10-19)18(20)22-16/h7-9,11-13,17,19H,3-6,10H2,1-2H3/t11-,12+,13+,17+/m1/s1	COc1cc([C@@H]2[C@H]3CCCC[C@H]3C=C[C@H]2C)oc(=O)c1CO	C18H24O4	pos_2_2proton2acetonitrile	304.167459248	Solanopyrone B	YJHFAFJKTXEFDR	Polyketides	Cyclic polyketides	Decalins with 2-pyrones	http://www.wikidata.org/entity/Q2715597	Alternaria solani	49587.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Pleosporales']	['Pleosporaceae']	['Unknown']	['Alternaria']	['Alternaria solani']		['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Pleosporales']	['Pleosporaceae']				6	3	7.5	1
2	6515	85	Fatty acids	0.4339622641509434	Fatty amides	0.33962264150943394	Sativane sesquiterpenoids	0.16981132075471697	3.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104987545	DROLRDZYPMOKLM-VIQHNZTISA-N	InChI=1S/C17H29NO/c1-11(2)13-5-6-17(4)12(3)14-9-18(7-8-19)10-15(17)16(13)14/h11,13-16,19H,3,5-10H2,1-2,4H3/t13-,14-,15-,16+,17-/m0/s1	C=C1[C@@H]2CN(CCO)C[C@H]3[C@@H]2[C@H](C(C)C)CC[C@@]13C	C17H29NO	pos_1_1proton1isopropanol	263.224914548	2-[(1R,3R,7S,8R,9S)-1-methyl-2-methylidene-9-propan-2-yl-5-azatricyclo[5.4.0.03,8]undecan-5-yl]ethanol	DROLRDZYPMOKLM	Terpenoids	Sesquiterpenoids	Sativane sesquiterpenoids	http://www.wikidata.org/entity/Q84708532	Bipolaris sorokiniana	204741.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Pleosporales']	['Pleosporaceae']	['Unknown']	['Bipolaris']	['Bipolaris sorokiniana']		['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Pleosporales']	['Pleosporaceae']				6	3	7.5	1
6	6514	85	Fatty acids	0.4339622641509434	Fatty amides	0.33962264150943394	Sativane sesquiterpenoids	0.16981132075471697	1.0	0.610415	ISDB	http://www.wikidata.org/entity/Q27144216	YNNQTVPKSXTDCK-SABUVIKOSA-N	InChI=1S/C18H31NO/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18(20)17(2)19/h4-5,7-8,10-11,13-14,17-18,20H,3,6,9,12,15-16,19H2,1-2H3/b5-4-,8-7-,11-10-,14-13-/t17-,18+/m0/s1	CC/C=C\C/C=C\C/C=C\C/C=C\CC[C@@H](O)[C@H](C)N	C18H31NO		277.240564612	Obscuraminol A	YNNQTVPKSXTDCK	Fatty acids	Sphingolipids	Sphingoid bases	http://www.wikidata.org/entity/Q4915771	Pseudodistoma obscurum	3644423.0	['Eukaryota']	['Metazoa']	['Chordata']	['Ascidiacea']	['Enterogona']	['Pseudodistomidae']	['Unknown']	['Pseudodistoma']	['Pseudodistoma obscurum']		['Eukaryota']									1	1	3.941659927368164	1
7	6510	688	Fatty acids	0.5	Glycerophospholipids	0.5	Glycerophosphoethanolamines	0.5	1.0	0.24908057	ISDB	http://www.wikidata.org/entity/Q27105088	XVYPOHCSLJZFED-QZEVRULJSA-N	InChI=1S/C41H80NO7P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-36-46-38-40(39-48-50(44,45)47-37-35-42)49-41(43)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h18,20,33,36,40H,3-17,19,21-32,34-35,37-39,42H2,1-2H3,(H,44,45)/b20-18-,36-33-/t40-/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](CO/C=C\CCCCCCCCCCCCCCCC)COP(=O)(O)OCCN	C41H80NO7P		729.56724053	2-azaniumylethyl (2R)-2-[(9Z)-octadec-9-enoyloxy]-3-[(1Z)-octadec-1-en-1-yloxy]propyl phosphate	XVYPOHCSLJZFED	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']											0	3	2.496322274208069	1
8	6507	72	Amino acids and Peptides	0.17647058823529413	Small peptides	0.11764705882352941	Dipeptides	0.11764705882352941	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q82955676	XLUAWXQORJEMBD-UHFFFAOYSA-N	InChI=1S/C10H16N2O2/c1-6(2)8-10(14)12-5-3-4-7(12)9(13)11-8/h6-8H,3-5H2,1-2H3,(H,11,13)	CC(C)C1NC(=O)C2CCCN2C1=O	C10H16N2O2	pos_1_1proton1methanol	196.121177752	Pyrrolo(1,2-a)pyrazine-1,4-dione, hexahydro-3-(1-methylethyl)-	XLUAWXQORJEMBD	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q2704244	Alternaria alternata	464784.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Pleosporales']	['Pleosporaceae']	['Unknown']	['Alternaria']	['Alternaria alternata']		['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Pleosporales']	['Pleosporaceae']				6	3	7.5	1
9	6497	383	Terpenoids	1.0	Sesquiterpenoids	0.9333333333333333	Germacrane sesquiterpenoids	0.4	1.0	0.83852273	ISDB	http://www.wikidata.org/entity/Q82921503	OIIJXQMSEYQDDI-UHFFFAOYSA-N	InChI=1S/C13H18/c1-9-7-8-11(3)13-10(2)5-4-6-12(9)13/h7-8,10H,4-6H2,1-3H3	Cc1ccc(C)c2c1CCCC2C	C13H18		174.140850576	1,5,8-Trimethyl-1,2,3,4-tetrahydronaphthalene	OIIJXQMSEYQDDI	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	http://www.wikidata.org/entity/Q181095	Nicotiana tabacum	222787.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Nicotianeae']	['Nicotiana']	['Nicotiana tabacum']		['Eukaryota']									1	2	5.354090929031372	1
14	6492	-1							2.0	0.59426355	ISDB	http://www.wikidata.org/entity/Q27144970	BQBCIBCLXBKYHW-CSMHCCOUSA-N	InChI=1S/C10H20N2O4/c1-5(2)4-7(10(15)16)12-9(14)8(11)6(3)13/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16)/t6-,7+,8+/m1/s1	CC(C)C[C@H](NC(=O)[C@@H](N)[C@@H](C)O)C(=O)O	C10H20N2O4		232.14230712	Thr-Leu	BQBCIBCLXBKYHW	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q7912606	Valsa sordida	382306.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Diaporthales']	['Valsaceae']	['Unknown']	['Valsa']	['Valsa sordida']		['Eukaryota']	['Fungi']	['Ascomycota']							3	0	5.377054214477539	1
15	6482	-1							1.0	0.20419784	ISDB									VXQNWXPRFRSJPN							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.8167913556098938	1
16	6479	-1							1.0	0.41254228	ISDB	http://www.wikidata.org/entity/Q105170057	MQJPOSCYXGJLPQ-IUOWXXPRSA-N	InChI=1S/C18H28O3/c1-5-16(19)20-13-14(2)7-6-10-18(4)15-8-11-17(3,21-18)12-9-15/h7-8,11,15H,5-6,9-10,12-13H2,1-4H3/b14-7+/t15-,17+,18-/m0/s1	CCC(=O)OC/C(C)=C/CC[C@]1(C)O[C@]2(C)C=C[C@H]1CC2	C18H28O3		292.203844756	[(E)-5-[(1S,3S,4R)-1,3-dimethyl-2-oxabicyclo[2.2.2]oct-5-en-3-yl]-2-methylpent-2-enyl] propanoate	MQJPOSCYXGJLPQ	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids	http://www.wikidata.org/entity/Q28934733	Artemisia sieberi	324847.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Anthemideae']	['Artemisia']	['Artemisia sieberi']											0	0	1.6501691341400146	1
17	6474	-1							1.0	0.6889836	ISDB	http://www.wikidata.org/entity/Q104909087	ACHDMUPTZYZIGR-CUHSZNQNSA-N	InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b4-3-,8-6-,14-11+	CC/C=C\C/C=C\C=C\C(=O)CCCCCCCC(=O)O	C18H28O3		292.203844756	9-OxoOTrE	ACHDMUPTZYZIGR	Fatty acids	Octadecanoids	Other Octadecanoids	http://www.wikidata.org/entity/Q212547	Isatis tinctoria	631500.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Isatideae']	['Isatis']	['Isatis tinctoria']											0	0	2.755934476852417	1
