G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2960.0","main.cluster index_upperinput":"2960.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=64&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	14.3164	14.3164	0	N/A	N/A	3142298.4024687367	1	2960	64	1	238.1805	1	238.1805	3142298.4024687367
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5410.0","main.cluster index_upperinput":"5410.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=240&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	5.2579	5.2579	0	N/A	N/A	3892417.5529999854	1	5410	240	1	386.2024	1	386.2024	3892417.5529999854
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2654.0","main.cluster index_upperinput":"2654.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=249&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	27.7288	27.7288	0	N/A	N/A	6580430.05374995	1	2654	249	1	798.5674	1	798.5674	6580430.05374995
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1225.0","main.cluster index_upperinput":"1225.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=125&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	24.6825	24.6825	0	N/A	N/A	99806042.38626957	4	1225	125	4	336.3266	1	336.3266	99806042.38626957
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3164.0","main.cluster index_upperinput":"3164.0"}	This Node is a Singleton	N/A	N/A	N/A	4.3788	4.3788	0	N/A	N/A	3943861.438459442	3	3164	-1	3	169.0497	1	169.0497	3943861.438459442
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2144.0","main.cluster index_upperinput":"2144.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=521&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	32.9509	32.9509	0	N/A	N/A	13507698.314325953	2	2144	521	2	593.3686	1	593.3686	13507698.314325953
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"511.0","main.cluster index_upperinput":"511.0"}	This Node is a Singleton	N/A	N/A	N/A	10.6729	10.6729	0	N/A	N/A	5284032.311781093	2	511	-1	2	394.2228	1	394.2228	5284032.311781093
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5411.0","main.cluster index_upperinput":"5411.0"}	This Node is a Singleton	N/A	N/A	N/A	8.7361	8.7361	0	N/A	N/A	4173120.5869374345	1	5411	-1	1	362.1596	1	362.1596	4173120.5869374345
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4287.0","main.cluster index_upperinput":"4287.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=56&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	2.3435	2.3435	0	N/A	N/A	22529255.14581248	1	4287	56	1	222.0795	1	222.0795	22529255.14581248
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3981.0","main.cluster index_upperinput":"3981.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=405&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	10.2803	10.2803	0	N/A	N/A	24417082.78577905	2	3981	405	2	413.1573	1	413.1573	24417082.78577905
