CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2017	5020	1	0.7291	54.047
2386	5020	1	0.7326	54.047
2017	2386	1	0.9697	0.000
3773	3812	2	0.9385	14.016
3786	3910	2	0.9655	-18.010
3669	3773	2	0.973	0.000
3669	3812	2	0.9678	14.016
3653	6115	2	0.8758	2.016
3617	3669	2	0.9767	-0.000
3653	3910	2	0.9652	-18.010
3669	3786	2	0.9671	-0.000
3773	3786	2	0.9706	-0.000
3773	4700	2	0.9165	-0.000
3653	4700	2	0.9624	0.000
3812	6115	2	0.8915	-12.000
3910	5951	2	0.8579	18.010
5454	5492	2	0.9156	-32.026
5006	5951	2	0.8684	-0.000
3812	4700	2	0.9512	-14.016
3653	3773	2	0.9456	0.001
3653	3786	2	0.9647	0.000
3786	3812	2	0.9482	14.016
3786	5454	2	0.9193	14.016
3669	3910	2	0.9782	-18.010
3653	5006	2	0.9496	0.001
3773	5951	2	0.9063	-0.000
3653	3812	2	0.9692	14.016
5006	5454	2	0.9141	14.016
3617	5006	2	0.9553	0.000
3617	5454	2	0.9456	14.016
3653	3669	2	0.9701	0.001
3773	5454	2	0.9007	14.016
3773	5006	2	0.9601	0.000
3617	3786	2	0.9583	-0.000
3910	4700	2	0.9453	18.010
3786	4700	2	0.9283	0.000
4700	5737	2	0.848	-2.013
5454	6115	2	0.8658	-12.000
3669	4700	2	0.9508	-0.000
3910	5006	2	0.9535	18.011
3812	5006	2	0.9359	-14.016
3669	5454	2	0.948	14.016
3669	5006	2	0.9575	0.000
3617	5951	2	0.862	-0.000
3617	3773	2	0.9635	-0.000
3786	4332	2	0.8732	2.016
3669	5951	2	0.8634	-0.000
4332	6115	2	0.9102	0.000
3617	3653	2	0.9659	-0.001
3617	4700	2	0.9471	-0.000
3812	5492	2	0.9399	-32.026
4700	5454	2	0.9569	14.016
3617	3910	2	0.9712	-18.011
3617	3812	2	0.9653	14.016
3773	3910	2	0.9681	-18.010
3812	5454	2	0.9735	0.000
